State,County,Link,"Page Accessible","Portal Vendor",Notes
,"Kentucky Trial Court Records Online",https://kcoj.kycourts.net/CourtNet/Search/Index,Y,,
Louisiana,"Case Search - 4th Circuit Court of Appeals",http://www.la4th.org/SearchCases.aspx,Y,,
Maine,,,N,,
Maryland,"Maryland Judiciary Case Search",http://casesearch.courts.state.md.us/casesearch//processDisclaimer.jis,Y,,
Massachusetts,"Supreme Judicial Court and Appeals Court Public Case Information",http://www.ma-appellatecourts.org/index.php,N,,
Michigan,"Case Search",http://courts.mi.gov/opinions_orders/case_search/pages/default.aspx,Y,,
Minnesota,"Access Court Records",http://www.mncourts.gov/Access-Case-Records.aspx,Y,,
Mississippi,"Appellate Case Docket Search",http://courts.ms.gov/appellate_courts/generaldocket.html,Y,,
Missouri,Case.net,https://www.courts.mo.gov/casenet/base/welcome.do,N,,
Montana,"Supreme Court Public View Docket",https://supremecourtdocket.mt.gov/,N,,
Nebraska,"SCCALES Case Search",https://www.nebraska.gov/courts/sccales,N,,
,"JUSTICE One-Time Court Case Search",https://www.nebraska.gov/justicecc/ccname.cgi,Y,,
,"Trial Court Case Search",http://www.nebraska.gov/subscriber/,Y,,
Nevada,"Appellate Case Management System",http://caseinfo.nvsupremecourt.us/public/caseSearch.do,Y,,
,"Clark County (Clark County District + Justice Courts + Las Vegas Township Court)",https://www.clarkcountycourts.us/portal,N,,
,"Washoe County (District)",https://www.washoecounty.us/your_government/public-records.php,Y,,
"New Hampshire",,,N,,
"New Jersey","Civil Case Public Access",http://njcourts.judiciary.state.nj.us/web15z/ACMSPA/,N,,
,"Criminal Case Public Access",https://njcourts.judiciary.state.nj.us/web15z/ExternalPGPA/,N,,
"New Mexico","New Mexico Courts Case Lookup",https://caselookup.nmcourts.gov/caselookup/app,Y,,
,"Bernalillo County Metropolitan Court Case Lookup",https://caselookup.nmcourts.gov/caselookup/app,Y,,
"New York","WebCivil Supreme",https://iapps.courts.state.ny.us/webcivil/FCASMain,N,,
,WebCrims,https://iapps.courts.state.ny.us/webcrim_attorney/AttorneyWelcome,N,,
,WebFamily,https://iapps.courts.state.ny.us/fcasfamily/main,N,,
"North Carolina",,,N,,
"North Dakota","Supreme Court Docket Search",http://www.ndcourts.com/search/docket.asp,N,,
Ohio,"Supreme Court Case Docket",http://www.sconet.state.oh.us/Clerk/ecms/,Y,,
,"Cuyahoga County Public Access",http://probate.cuyahogacounty.us/pa/,Y,,
,"Fairfield County Clerk of Courts",http://courtview.co.fairfield.oh.us/eservices/home.page.2,Y,,
,"Franklin County Public Access",http://www.fcmcclerk.com/case/search,Y,,
,"Franklin County Probate Case Search",https://probate.franklincountyohio.gov/search/,Y,,
,"Hamilton County Case Inquiry.",https://courtclerk.org/records-search/,N,,
,"Lake County Court Records .",https://phoenix.lakecountyohio.gov/pa/,N,,
,"Montgomery County Public Records Online (PRO) System .",http://www.clerk.co.montgomery.oh.us/pro/,Y,,
,"Summit County Case Search",http://www.cpclerk.co.summit.oh.us/Disclaimer.asp?toPage=SelectDivision.asp,N,,
Oklahoma,"Oklahoma State Court Network .",http://www.oscn.net/applications/oscn/start.asp?viewType=DOCKETS,N,,
,"Oklahoma District Court Records .",http://www1.odcr.com/,Y,,
Oregon,"Your Access to Oregon Cases on the Internet.",https://webportal.courts.oregon.gov/portal/,Y,,
,"Public Records Search from the Oregon State Police.",https://www.oregon.gov/osp/PRR/Pages/index.aspx,Y,,
Pennsylvania,"Pennsylvania's Unified Judicial System (UJS) Web Portal.",http://ujsportal.pacourts.us/,N,,
,"Criminal History Search.",https://epatch.state.pa.us/Home.jsp,Y,,
,"UJS Public Access Policies",http://www.pacourts.us/public-records,Y,,
,"First Judicial District, Pennsylvania Civil Trial Division",http://courts.phila.gov/common-pleas/trial/civil/,Y,,
"Rhode Island","Criminal Information Database.",http://courtconnect.courts.state.ri.us/pls/ri_adult/ck_public_qry_main.cp_main_idx,N,,
"South Carolina","Criminal Records Check.",https://catch.sled.sc.gov/,Y,,
,"Incarcerated Criminals Search.",http://www.doc.sc.gov/InmateSearchDisclaimer.html,Y,,
,"South Carolina Judicial Department.",https://www.sccourts.org/caseSearch/,Y,,
"South Dakota","Criminal and Civil Records.",http://www.sdjudicial.com/courtinfo/cricivrecords.aspx,Y,,
,"Civil Judgments database.",http://ujs.sd.gov/Self_Help_Center/civiljudgement.aspx,Y,,
Tennessee,,,N,,
Texas,"Subscriber Access Criminal/Subscriber Access Civil -",http://home.jims.hctx.net/webservices.aspx,N,,
,"5th Court of Appeals Case Information.",http://www.search.txcourts.gov/CaseSearch.aspx?coa=coa05,Y,,
Utah,"Search Court Records.",http://www.utcourts.gov/records/,Y,,
,Xchange.,http://casesearch.utcourts.gov/,N,,
,"Appellate Docket Search.",http://www.utcourts.gov/courts/appell/appellatesearch.htm,Y,,
Vermont,"Welcome to Vermont Courts Online.",https://secure.vermont.gov/vtcdas/user,Y,,
Virginia,"Supreme Court.",http://208.210.219.132/scolar/select.jsp,N,,
,"Court of Appeals",http://208.210.219.132/stars/select.jsp,N,,
,"Circuit Courts.",http://wasdmz2.courts.state.va.us/CJISWeb/circuit.html,Y,,
,"District Courts:",http://epwsgdp1.courts.state.va.us/gdcourts/caseSearch.do?index=index,N,,
Washington,"Search for a Case.",http://dw.courts.wa.gov/,Y,,
,"Criminal Records.",http://www.wsp.wa.gov/crime/criminal-history/,N,,
,JIS-Link.,http://www.courts.wa.gov/jislink/index.cfm,Y,,
"West Virginia",,,N,,
Wisconsin,"Wisconsin Circuit Court Access.",https://wcca.wicourts.gov/,Y,,
,"Wisconsin Supreme Court and Court of Appeals Case Access.",http://wscca.wicourts.gov/index.xsl,Y,,
Wyoming,,,N,,
